Name,State,Lat,Lon,Elev_m,climSWE,dSWE,HUC02
Baker Butte,USAZ,34.4600,-111.4100,2225.0,NaN,0.0,HUC15
Baker Butte Smt,USAZ,34.4600,-111.3800,2347.0,NaN,0.0,HUC15
Baldy,USAZ,33.9800,-109.5000,2781.3,NaN,0.0,HUC15
Bar M,USAZ,34.8600,-111.6100,1948.6,NaN,NaN,HUC15
Beaver Head,USAZ,33.6900,-109.2200,2435.4,NaN,0.0,HUC15
Beaver Spring,USAZ,36.3300,-109.0600,2804.2,NaN,0.0,HUC14
Chalender,USAZ,35.2600,-112.0600,2164.1,NaN,0.0,HUC15
Coronado Trail,USAZ,33.8000,-109.1500,2560.3,NaN,0.0,HUC15
Fort Valley,USAZ,35.2700,-111.7400,2240.3,NaN,0.0,HUC15
Fry,USAZ,35.0700,-111.8400,2194.6,NaN,0.0,HUC15
Hannagan Meadows,USAZ,33.6500,-109.3100,2749.3,0.0,0.0,HUC15
Happy Jack,USAZ,34.7500,-111.4100,2325.6,NaN,-0.5,HUC15
Hawley Lake,USAZ,33.9700,-109.7700,2529.8,NaN,-0.4,HUC15
Heber,USAZ,34.3100,-110.7500,2328.7,NaN,0.0,HUC15
Maverick Fork,USAZ,33.9200,-109.4600,2804.2,NaN,0.0,HUC15
Mormon Mountain,USAZ,34.9400,-111.5200,2286.0,NaN,0.0,HUC15
Mormon Mtn Summit,USAZ,34.9700,-111.5100,2590.8,NaN,-0.2,HUC15
Nutrioso,USAZ,33.9000,-109.1600,2590.8,NaN,0.0,HUC15
Promontory,USAZ,34.3700,-111.0100,2417.1,NaN,-0.6,HUC15
Snowslide Canyon,USAZ,35.3400,-111.6500,2965.7,NaN,0.0,HUC15
White Horse Lake,USAZ,35.1400,-112.1500,2188.5,NaN,0.0,HUC15
Wildcat,USAZ,33.7600,-109.4800,2392.7,NaN,0.0,HUC15
Workman Creek,USAZ,33.8100,-110.9200,2103.1,NaN,0.0,HUC15
