5SI,SAN JOAQUIN 5-STATION PRECIP INDEX,SAN JOAQUIN R,none specified,-119.583,37.74,0,CA Dept of Water Resources/Flood Management
6SI,TULARE PRECIPITATION INDEX,TULARE LAKE,TULARE,-118.702,36.288,0,CA Dept of Water Resources/Snow Surveys
8SI,NORTHERN SIERRA 8-STATION PRECIP INDEX,SACRAMENTO R,PLUMAS,-120.9,39.9,0,CA Dept of Water Resources/Flood Management
8SM,8 STATION PRECIP INDEX (DWR-2),SACRAMENTO R,PLUMAS,-120.9,39.9,0,CA Dept of Water Resources/Flood Management
ACN,ACTON,SANTA CLARA R,LOS ANGELES,-118.2,34.446,2600,Los Angeles County Fire Dept
ADM,ADIN MOUNTAIN,PIT R,MODOC,-120.792,41.237,6200,Natural Resources Conservation Service
ADR,AUBURN DAM RIDGE,AMERICAN R,PLACER,-121.045,38.882,1200,US Bureau of Reclamation
ADS,ALDER SPRINGS NEAR ELK CREEK,STONY CR,GLENN,-122.725,39.65,4500,US Forest Service
AGP,AGNEW PASS,SAN JOAQUIN R,MADERA,-119.143,37.7244,9450,CA Dept of Water Resources/Flood Management
AGW,A.G. WISHON (PG&E),SAN JOAQUIN R,MERCED,-119.505,37.151,1000,Pacific Gas & Electric
AHV,ASH VALLEY,PIT R,LASSEN,-120.706,41.058,5090,US Bureau of Land Management
ALD,ALDER POINT,EEL R,HUMBOLDT,-123.712,40.232,923,CAL FIRE
ALM,LAKE ALMANOR,FEATHER R,PLUMAS,-121.173,40.218,4600,Pacific Gas & Electric
ALP,ALPHA (SMUD),AMERICAN R,EL DORADO,-120.21565,38.80419,7600,Sacramento Municipal Utility District
ALS,ALDER SPRINGS (USACE),STONY CR,GLENN,-122.725,39.65,4500,US Army Corps of Engineers
ALT,ALTURAS RS,PIT R,MODOC,-120.55,41.5,4400,US Forest Service
ALY,ALLEGHANY,YUBA R,SIERRA,-120.875,39.47,4957,CA Dept of Water Resources/O & M
AMD,AMMO DUMP,SANTA MARGARITA R,SAN DIEGO,-117.286,33.382,1068,Camp Pendleton Fire Dept
AMF,AMERICAN R AT FOLSOM,AMERICAN R,SACRAMENTO,-121.183,38.683,0,CA Dept of Water Resources/Snow Surveys
ANC,ANTIOCH (USBR),DELTA,CONTRA COSTA,-121.804,38.004,10,US Bureau of Reclamation
ANG,ANGWIN,NAPA R,NAPA,-122.4332,38.5712,1815,CA Dept of Water Resources/Flood Management
ANH,SAN JOAQUIN RIVER AT ANTIOCH,SAN JOAQUIN R,CONTRA COSTA,-121.80296,38.01783,10,"CA Dept of Water Resources, DES"
ANT,ANTELOPE LAKE,FEATHER R,PLUMAS,-120.607,40.18,4960,CA Dept of Water Resources/O & M
ANZ,ANZA,SAN JACINTO R,RIVERSIDE,-116.6744,33.5558,3920,CAL FIRE
API,ALPINE,SAN DIEGO R,SAN DIEGO,-116.739,32.834,2041,US Forest Service
APS,AMERICAN RIVER PUMP STATION,AMERICAN R,SACRAMENTO,-121.1,38.9,480,Placer County Water Agency
ARC,MAD RIVER NEAR ARCATA,MAD R,HUMBOLDT,-124.06062,40.90985,33,USGS and DWR
ARG,ARROYO GRANDE,ARROYO GRANDE CREEK,SAN LUIS OBISPO,-120.417,35.117,600,CAL FIRE
ARS,ARROWHEAD SPRINGS HOTEL,LYTLE CR,SAN BERNARDINO,-117.264,34.184,2000,None Specified
ARW,ARDEN WAY,AMERICAN R,SACRAMENTO,-121.413,38.596,35,Sacramento County
ARY,ARROYO SECO,SALINAS R,MONTEREY,-121.488,36.23,980,US Forest Service
ASC,ASH CREEK (USFS),MC CLOUD R,SISKIYOU,-121.97945,41.27694,3200,US Forest Service
ASM,ASH MOUNTAIN,KAWEAH R,TULARE,-118.833,36.483,1708,Sequoia and Kings Canyon National Parks
ATL,ATLAS PEAK,NAPA R,NAPA,-122.25,38.433,1660,CA Dept of Water Resources/Flood Management
ATW,ATWELL CAMP,KAWEAH R,TULARE,-118.631,36.464,6400,US Army Corps of Engineers
BAC,BACON ISLAND AT OLD RIVER,DELTA,SAN JOAQUIN,-121.57217,37.96935,0,CA Dept of Water Resources/O & M
BAL,BALCH PH (PG&E),KINGS R,FRESNO,-119.089,36.909,1720,Pacific Gas & Electric
BAP,BYRON AIRPORT,DELTA,CONTRA COSTA,-121.6225,37.8306,43,Contra Costa County
BAR,BEAR,MERCED R,MARIPOSA,-120.217,37.367,319,US Army Corps of Engineers
BAT,BATTLE CREEK,SACRAMENTO R,TEHAMA,-122.14639,40.39821,200,USGS and DWR
BBI,BYRON BETHANY IRRIGATION DIST DIVERSION,DELTA,CONTRA COSTA,-121.5574,37.8298,3,Byron Bethany Irrigation District
BBW,BW-12 IMPORT TO BUTTE CREEK,BUTTE CR,BUTTE,-121.61033,39.88573,2882,CA Dept of Water Resources
BCB,BLACKCAP BASIN,KINGS R,FRESNO,-118.77,37.067,10300,CA Dept of Water Resources/Snow Surveys
BCD,BUTTE CREEK NR DURHAM,BUTTE CR,BUTTE,-121.77748,39.67801,190,CA Dept of Water Resources
BCG,BUTTE CREEK NR GRIDLEY,BUTTE CR,BUTTE,-121.88885,39.38563,60,"CA Dept of Water Resources, NRO"
BCH,BEACH MEADOWS,KERN R,TULARE,-118.29346,36.12609,7650,CA Dept of Water Resources/Snow Surveys
BCK,BUTTE CREEK NR CHICO,BUTTE CR,BUTTE,-121.70886,39.72599,300,US Geological Survey
BCL,BUCKS LAKE STORAGE,FEATHER R,PLUMAS,-121.202,39.897,5168,Pacific Gas & Electric
BCM,BRUSH CREEK (DWR-2),FEATHER R,BUTTE,-121.34,39.694,3560,CA Dept of Water Resources
BCR,BRUSH CREEK RS,FEATHER R,BUTTE,-121.34,39.69,3520,US Forest Service
BDD,BIG DALTON DAM,SAN GABRIEL R,LOS ANGELES,-117.808,34.17,1587,None Specified
BDL,BELDON LANDING,SACRAMENTO R,SOLANO,-121.9708,38.1869,0,"CA Dept of Water Resources, DES"
BDM,BALD MOUNTAIN (USBR),SAN JOAQUIN R,FRESNO,-119.4,37.067,4720,US Bureau of Reclamation
BDR,BLUE DOOR,PIT R,LASSEN,-120.336,41.056,5900,US Bureau of Land Management
BDT,SAN JOAQUIN R AT BRANDT BRIDGE,SAN JOAQUIN R,SAN JOAQUIN,-121.3231,37.865,0,CA Dept of Water Resources/O & M
BDY,BRANDY CREEK,SACTO VLY NE,SHASTA,-122.567,40.617,1300,US Bureau of Reclamation
BEC,BELL CANYON,SANTA ANA R,ORANGE,-117.5731,33.5517,750,Orange County Fire Authority
BER,BERRYESSA,PUTAH CR,NAPA,-122.104,38.513,456,US Bureau of Reclamation
BET,BETHEL ISLAND,DELTA,CONTRA COSTA,-121.63219,38.04109,9,CA Dept of Water Resources
BEV,SOUTH CANAL FROM BEAR RIVER,BEAR R,PLACER,-120.953,39.133,1980,Pacific Gas & Electric
BFK,BAKERSFIELD AIRPORT,TULARE LAKE,KERN,-119.054,35.434,494,National Weather Service
BFL,BIG FLAT,TRINITY R,TRINITY,-122.942,41.08,5100,US Bureau of Reclamation
BGB,BIG BAR,TRINITY R,TRINITY,-123.2,40.733,1270,US Forest Service
BGC,BIG CREEK 1,SAN JOAQUIN R,FRESNO,-119.24,37.205,4878,"Southern California Edison Company, Big Creek"
BGD,BOGARD RANGER STATION,SUSAN R,LASSEN,-121.08,40.59,5680,CAL FIRE
BGF,BIG CK DIVERSION NR FISH CAMP,MERCED R,MARIPOSA,-119.61417,37.46944,5400,Madera Irrigation District
BGP,BIG PINE CREEK,OWENS R,INYO,-118.47816,37.12786,9800,CA Dept of Water Resources/Snow Surveys
BGR,BANGOR,YUBA R,BUTTE,-121.38625,39.38073,800,CAL FIRE
BGV,BRIDGEVILLE,VAN DUZEN R,HUMBOLDT,-123.792,40.474,646,CA Dept of Water Resources/Flood Management
BHC,BRUSH CREEK (SMUD),AMERICAN R,EL DORADO,-120.62,38.805,2923,Sacramento Municipal Utility District
BHL,BEVERLY HILLS,LOS ANGELES R,LOS ANGELES,-118.42,34.125,1260,Los Angeles County Fire Dept
BIL,BUCK ISLAND LAKE,AMERICAN R,EL DORADO,-120.25,39.001,6400,Sacramento Municipal Utility District
BIM,BIG MEADOWS (DWR),KINGS R,TULARE,-118.84343,36.71537,7600,CA Dept of Water Resources/Snow Surveys
BKD,BLACK DIAMOND MINES,EAST BAY,CONTRA COSTA,-121.884,37.95,1600,East Bay Regional Parks Fire-Rescue Services
BKE,BRECKENRIDGE,KERN R,KERN,-118.5839,35.4506,7548,US Bureau of Land Management
BKK,BLACKROCK,KERN R,TULARE,-118.261,36.093,8200,US Forest Service
BKL,BUCKS LAKE,FEATHER R,PLUMAS,-121.242,39.85,5750,CA Dept of Water Resources/O & M
BKM,BUCK MEADOWS,TUOLUMNE R,TUOLUMNE,-120.0975,37.8233,3200,US Forest Service
BKP,BUCKS CREEK PH,FEATHER R,PLUMAS,-121.333,39.917,1760,Pacific Gas & Electric
BKS,BARKER SLOUGH PUMPING PLANT (KG000000),DELTA,SOLANO,-121.7965,38.2759,0,CA Dept of Water Resources/O & M
BL2,BLUE CANYON #2 (ETI),AMERICAN R,PLACER,-120.7,39.283,5280,CA Dept of Water Resources
BLA,BLACKS MOUNTAIN,PIT R,LASSEN,-121.19972,40.76984,7050,CA Dept of Water Resources/Snow Surveys
BLB,BLACK BUTTE,STONY CR,TEHAMA,-122.329,39.808,426,US Army Corps of Engineers
BLC,BLUE CANYON,AMERICAN R,PLACER,-120.7081,39.2761,5280,US Bureau of Reclamation
BLD,BLOODS CREEK,STANISLAUS R,ALPINE,-120.033,38.45,7200,US Bureau of Reclamation
BLH,BALCH PH,KINGS R,FRESNO,-119.083,36.917,1720,Pacific Gas & Electric
BLK,BLUE LAKES,MOKELUMNE R,ALPINE,-119.931,38.613,8000,Natural Resources Conservation Service
BLM,BLACK MOUNTAIN,SALINAS R,SAN LUIS OBISPO,-120.353,35.395,3625,CA Dept of Water Resources/Flood Management
BLO,BEN LOMOND (CDF),SAN LORENZO R,SANTA CRUZ,-122.17,37.132,2630,CAL FIRE
BLP,BLIND POINT,DELTA,CONTRA COSTA,-121.71904,38.03245,0,CA Dept of Water Resources
BLS,BLACK SPRINGS,STANISLAUS R,CALAVERAS,-120.192,38.375,6500,US Bureau of Reclamation
BLT,BEN BOLT,COSUMNES R,EL DORADO,-121.017,38.586,1138,CAL FIRE
