SnowToday Calculated SWE Summary Data : 2023-04-15
Column01 : site name
Column02 : latitude
Column03 : longitude
Column04 : elevation
Column05 : SWE (cm)
Column06 : percent of median long-term (25+yr) SWE on this date
Column07 : percent of long-term (25+yr) peak SWE
Column08 : daily change in SWE (cm)
Column09 : State
Column10 : HUC02
Column11 : HUC04
Name,Lat,Lon,Elev_m,SWE,normSWE,percentPeakSWE,dSWE,State,HUC02,HUC04
Alexander Lake,61.7500,-150.8900,48.8,23.6,NaN,NaN,0.0,USAK,HUC19,NaN
American Creek,64.7900,-141.2300,320.0,14.2,NaN,NaN,0.0,USAK,HUC19,NaN
Anchor River Divide,59.8600,-151.3200,503.8,31.5,102.0,96.0,0.0,USAK,HUC19,NaN
Anchorage Hillside,61.1100,-149.6700,634.0,32.0,NaN,NaN,0.0,USAK,HUC19,NaN
Bettles Field,66.9200,-151.5300,195.1,21.8,132.0,118.0,0.0,USAK,HUC19,NaN
Chisana,62.0700,-142.0500,1011.9,17.3,NaN,NaN,0.0,USAK,HUC19,NaN
Coldfoot,67.2500,-150.1800,317.0,16.5,100.0,97.0,0.0,USAK,HUC19,NaN
Cooper Lake,60.3900,-149.6900,365.8,41.1,114.0,101.0,0.0,USAK,HUC19,NaN
East Palmer,61.6000,-149.1000,70.1,NaN,NaN,NaN,NaN,USAK,HUC19,NaN
Exit Glacier,60.1900,-149.6200,121.9,55.4,NaN,NaN,0.5,USAK,HUC19,NaN
Fairbanks F.O.,64.8500,-147.8000,137.2,NaN,NaN,NaN,NaN,USAK,HUC19,NaN
Fielding Lake,63.2000,-145.6300,914.4,25.4,NaN,NaN,0.0,USAK,HUC19,NaN
Flower Mountain,59.4000,-136.2800,765.0,64.5,NaN,NaN,0.0,USAK,HUC19,NaN
Frostbite Bottom,61.7500,-149.2700,823.0,47.8,NaN,NaN,0.0,USAK,HUC19,NaN
Galena AK,64.7000,-156.7100,125.0,17.0,NaN,NaN,0.0,USAK,HUC19,NaN
Grandview,60.6100,-149.0600,335.3,77.0,93.0,92.0,1.3,USAK,HUC19,NaN
Granite Crk,63.9400,-145.4000,378.0,15.8,168.0,142.0,0.0,USAK,HUC19,NaN
Grouse Creek Divide,60.2600,-149.3400,213.4,50.8,110.0,122.0,0.5,USAK,HUC19,NaN
Heen Latinee,58.7000,-134.8600,629.4,NaN,NaN,NaN,NaN,USAK,HUC19,NaN
Independence Mine,61.7900,-149.2800,1082.0,65.8,NaN,NaN,0.0,USAK,HUC19,NaN
Indian Pass,61.0700,-149.4800,716.3,65.8,110.0,103.0,0.0,USAK,HUC19,NaN
Jack Wade Jct,64.1500,-141.3300,1092.7,18.3,NaN,NaN,0.0,USAK,HUC19,NaN
Kantishna,63.5400,-150.9900,472.4,21.8,NaN,NaN,0.0,USAK,HUC19,NaN
Kelly Station,67.9300,-162.2800,94.5,NaN,NaN,NaN,NaN,USAK,HUC19,NaN
Kenai Moose Pens,60.7300,-150.4800,91.4,19.6,171.0,149.0,0.0,USAK,HUC19,NaN
Little Chena Ridge,65.1200,-146.7300,609.6,16.8,121.0,110.0,0.0,USAK,HUC19,NaN
Long Lake,58.1900,-133.8300,259.1,112.8,NaN,NaN,0.0,USAK,HUC19,NaN
May Creek,61.3500,-142.7100,490.7,21.3,NaN,NaN,0.0,USAK,HUC19,NaN
McGrath,62.9500,-155.6100,103.6,29.7,NaN,NaN,0.0,USAK,HUC19,NaN
Mcneil Canyon,59.7400,-151.2500,402.3,28.2,112.0,99.0,0.0,USAK,HUC19,NaN
Monahan Flat,63.3100,-147.6500,826.0,17.3,NaN,NaN,0.0,USAK,HUC19,NaN
Monument Creek,65.0800,-145.8700,563.9,19.8,144.0,131.0,0.0,USAK,HUC19,NaN
Moraine,61.3800,-149.0000,640.1,21.6,NaN,NaN,0.0,USAK,HUC19,NaN
Mt. Alyeska,60.9600,-149.0900,469.4,57.7,67.0,65.0,1.0,USAK,HUC19,NaN
Mt. Eyak,60.5500,-145.7500,428.2,88.1,NaN,NaN,2.8,USAK,HUC19,NaN
Mt. Ryan,65.2500,-146.1500,853.4,21.3,131.0,125.0,0.0,USAK,HUC19,NaN
Munson Ridge,64.8500,-146.2100,944.9,26.7,124.0,111.0,0.0,USAK,HUC19,NaN
Port Graham,59.3500,-151.8500,91.4,37.6,NaN,NaN,0.0,USAK,HUC19,NaN
Summit Creek,60.6200,-149.5300,426.7,30.0,108.0,103.0,0.0,USAK,HUC19,NaN
Susitna Valley High,62.1300,-150.0400,114.3,33.8,148.0,138.0,0.0,USAK,HUC19,NaN
Telaquana Lake,60.9800,-153.9200,388.6,19.1,NaN,NaN,0.0,USAK,HUC19,NaN
Teuchet Creek,64.9500,-145.5200,499.9,15.8,136.0,128.0,0.0,USAK,HUC19,NaN
Tokositna Valley,62.6300,-150.7800,259.1,33.8,NaN,NaN,0.0,USAK,HUC19,NaN
Turnagain Pass,60.7800,-149.1800,573.0,71.9,80.0,68.0,0.8,USAK,HUC19,NaN
Upper Chena,65.1000,-144.9300,868.7,25.6,142.0,144.0,0.0,USAK,HUC19,NaN
Upper Nome Creek,65.3700,-146.5900,768.1,18.3,NaN,NaN,0.0,USAK,HUC19,NaN
Upper Tsaina River,61.1900,-145.6500,533.4,57.4,NaN,NaN,0.5,USAK,HUC19,NaN
Baker Butte,34.4600,-111.4100,2225.0,5.1,NaN,NaN,-2.3,USAZ,HUC15,NaN
Baker Butte Smt,34.4600,-111.3800,2347.0,70.1,NaN,NaN,-1.0,USAZ,HUC15,NaN
Baldy,33.9800,-109.5000,2781.3,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Bar M,34.8600,-111.6100,1948.6,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Beaver Head,33.6900,-109.2200,2435.4,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Beaver Spring,36.3300,-109.0600,2804.2,39.4,NaN,NaN,-0.8,USAZ,HUC14,NaN
Chalender,35.2600,-112.0600,2164.1,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
Coronado Trail,33.8000,-109.1500,2560.3,0.0,NaN,NaN,0.0,USAZ,HUC15,NaN
