SnowToday Calculated SWE Summary Data : 2023-05-08
Column01 : site name
Column02 : latitude
Column03 : longitude
Column04 : elevation
Column05 : SWE (inches)
Column06 : percent of median long-term (25+yr) SWE
Column07 : daily change in SWE (inches)
Column08 : State
Column09 : HUC02
Column10 : HUC04
Name,Lat,Lon,Elev_m,SWE,normSWE,dSWE,State,HUC02,HUC04
Baker Butte,34.4600,-111.4100,2225.0,NaN,NaN,NaN,USAZ,HUC15,1506
Baker Butte Smt,34.4600,-111.3800,2347.0,4.2,NaN,NaN,USAZ,HUC15,1506
Baldy,33.9800,-109.5000,2781.3,11.4,NaN,NaN,USAZ,HUC15,1502
Bar M,34.8600,-111.6100,1948.6,10.9,NaN,0.0,USAZ,HUC15,1506
Beaver Head,33.6900,-109.2200,2435.4,7.8,NaN,NaN,USAZ,HUC15,1506
Beaver Spring,36.3300,-109.0600,2804.2,7.0,NaN,NaN,USAZ,HUC14,1408
Chalender,35.2600,-112.0600,2164.1,5.3,NaN,NaN,USAZ,HUC15,1506
Coronado Trail,33.8000,-109.1500,2560.3,14.1,NaN,NaN,USAZ,HUC15,1504
Fort Valley,35.2700,-111.7400,2240.3,NaN,NaN,NaN,USAZ,HUC15,1502
Fry,35.0700,-111.8400,2194.6,16.6,NaN,NaN,USAZ,HUC15,1506
Hannagan Meadows,33.6500,-109.3100,2749.3,NaN,NaN,NaN,USAZ,HUC15,1506
Happy Jack,34.7500,-111.4100,2325.6,9.4,NaN,NaN,USAZ,HUC15,1506
Hawley Lake,33.9700,-109.7700,2529.8,25.3,NaN,NaN,USAZ,HUC15,1506
Heber,34.3100,-110.7500,2328.7,18.4,NaN,0.0,USAZ,HUC15,1502
Maverick Fork,33.9200,-109.4600,2804.2,5.4,NaN,NaN,USAZ,HUC15,1506
Mormon Mountain,34.9400,-111.5200,2286.0,32.7,NaN,NaN,USAZ,HUC15,1502
Mormon Mtn Summit,34.9700,-111.5100,2590.8,4.2,NaN,-1.2,USAZ,HUC15,1502
Nutrioso,33.9000,-109.1600,2590.8,18.7,NaN,NaN,USAZ,HUC15,1502
Promontory,34.3700,-111.0100,2417.1,NaN,NaN,NaN,USAZ,HUC15,1502
Snowslide Canyon,35.3400,-111.6500,2965.7,25.8,NaN,-1.0,USAZ,HUC15,1502
White Horse Lake,35.1400,-112.1500,2188.5,27.0,NaN,NaN,USAZ,HUC15,1506
Wildcat,33.7600,-109.4800,2392.7,7.4,NaN,0.0,USAZ,HUC15,1506
Workman Creek,33.8100,-110.9200,2103.1,8.5,NaN,NaN,USAZ,HUC15,1506
Adin Mtn,41.2400,-120.7900,1886.7,NaN,NaN,0.0,USCA,HUC18,1802
Blue Lakes,38.6100,-119.9200,2458.8,3.7,308.0,0.5,USCA,HUC16,1605
Burnside Lake,38.7200,-119.8900,2477.7,4.6,NaN,0.6,USCA,HUC16,1605
Carson Pass,38.6900,-120.0000,2548.1,37.4,NaN,NaN,USCA,HUC18,1802
Cedar Pass,41.5800,-120.3000,2142.7,6.9,336.0,0.0,USCA,HUC18,1802
Crowder Flat,41.8900,-120.7500,1575.8,9.5,NaN,0.0,USCA,HUC18,1801
Css Lab,39.3300,-120.3700,2101.3,11.0,NaN,0.0,USCA,HUC18,1802
Dismal Swamp,41.9900,-120.1800,2243.3,7.1,198.0,0.2,USCA,HUC17,1712
Ebbetts Pass,38.5500,-119.8000,2639.9,5.6,408.0,0.0,USCA,HUC16,1605
Echo Peak,38.8500,-120.0800,2332.6,6.4,558.0,0.0,USCA,HUC16,1605
Fallen Leaf,38.9300,-120.0500,1902.6,22.7,NaN,0.0,USCA,HUC16,1605
Forestdale Creek,38.6800,-119.9600,2443.6,32.6,NaN,0.0,USCA,HUC16,1605
Fredonyer Peak,40.6900,-120.6100,2197.0,8.4,NaN,0.0,USCA,HUC18,1808
Hagans Meadow,38.8500,-119.9400,2359.8,10.7,NaN,0.0,USCA,HUC16,1605
Heavenly Valley,38.9200,-119.9200,2601.2,10.5,562.0,0.3,USCA,HUC16,1605
Horse Meadow,38.8400,-119.8900,2608.2,10.2,NaN,0.0,USCA,HUC16,1605
Independence Camp,39.4500,-120.2900,2127.5,9.3,NaN,0.0,USCA,HUC16,1605
Independence Creek,39.4900,-120.2800,1961.7,1.5,NaN,-0.4,USCA,HUC16,1605
Independence Lake,39.4300,-120.3100,2541.4,2.5,194.0,-0.3,USCA,HUC16,1605
Leavitt Lake,38.2800,-119.6100,2927.3,12.5,211.0,-0.2,USCA,HUC16,1605
Leavitt Meadows,38.3000,-119.5500,2194.0,29.4,NaN,-0.7,USCA,HUC16,1605
Lobdell Lake,38.4400,-119.3700,2819.1,8.9,NaN,-0.4,USCA,HUC16,1605
Monitor Pass,38.6700,-119.6100,2531.7,6.4,NaN,0.0,USCA,HUC16,1605
Poison Flat,38.5100,-119.6300,2357.9,22.2,NaN,-0.7,USCA,HUC16,1605
Rubicon #2,39.0000,-120.1300,2322.3,NaN,418.0,0.2,USCA,HUC16,1605
Sonora Pass,38.3100,-119.6000,2673.1,NaN,410.0,1.1,USCA,HUC16,1605
Spratt Creek,38.6700,-119.8200,1848.0,NaN,NaN,0.0,USCA,HUC16,1605
State Line,41.9900,-120.7200,1731.3,0.0,NaN,0.0,USCA,HUC18,1801
Summit Meadow,38.4000,-119.5400,2838.6,NaN,NaN,0.0,USCA,HUC16,1605
Tahoe City Cross,39.1700,-120.1500,2071.7,NaN,NaN,-0.3,USCA,HUC16,1605
Truckee #2,39.3000,-120.1800,1983.9,NaN,NaN,-0.4,USCA,HUC16,1605
Virginia Lakes Ridge,38.0700,-119.2300,2865.1,NaN,490.0,0.4,USCA,HUC16,1605
Ward Creek #3,39.1400,-120.2200,2055.9,NaN,548.0,0.7,USCA,HUC16,1605
Apishapa,37.3300,-105.0700,3048.0,NaN,NaN,NaN,USCO,HUC11,1102
Arapaho Ridge,40.3500,-106.3800,3340.6,NaN,NaN,0.3,USCO,HUC14,1401
Bear Lake,40.3100,-105.6400,2895.6,NaN,102.0,-0.3,USCO,HUC10,1019
Bear River,40.0600,-107.0100,2767.6,NaN,NaN,0.0,USCO,HUC14,1405
Beartown,37.7100,-107.5100,3535.7,0.0,169.0,0.0,USCO,HUC13,1301
Beaver Ck Village,39.6000,-106.5100,2590.8,NaN,NaN,-0.2,USCO,HUC14,1401
Berthoud Summit,39.8000,-105.7800,3444.2,NaN,87.0,-0.2,USCO,HUC14,1401
Bison Lake,39.7600,-107.3600,3316.2,4.2,166.0,0.0,USCO,HUC14,1401
Black Mesa,37.7900,-108.1800,3529.6,NaN,NaN,0.0,USCO,HUC14,1403
Black Mountain,40.8900,-105.6600,2718.8,NaN,NaN,-0.3,USCO,HUC10,1019
Brumley,39.0900,-106.5400,3230.9,16.6,89.0,-0.2,USCO,HUC11,1102
Buckskin Joe,39.3000,-106.1100,3398.5,NaN,NaN,0.0,USCO,HUC10,1019
Buffalo Park,40.2300,-106.6000,2816.4,0.0,110.0,0.0,USCO,HUC14,1405
Burro Mountain,39.8800,-107.6000,2865.1,NaN,142.0,-0.5,USCO,HUC14,1405
Butte,38.8900,-106.9500,3096.8,7.7,219.0,-0.2,USCO,HUC14,1402
Cascade #2,37.6600,-107.8000,2718.8,64.7,NaN,NaN,USCO,HUC14,1408
Cascade,37.6500,-107.8100,2706.6,51.4,NaN,NaN,USCO,HUC14,1408
Chapman Tunnel,39.2600,-106.6300,3081.5,NaN,NaN,-0.2,USCO,HUC14,1401
Cochetopa Pass,38.1600,-106.6000,3054.1,18.5,NaN,NaN,USCO,HUC14,1402
Columbine,40.3900,-106.6000,2792.0,0.0,120.0,-0.4,USCO,HUC10,1018
Columbine Pass,38.4200,-108.3800,2865.1,57.7,NaN,-0.7,USCO,HUC14,1402
Columbus Basin,37.4400,-108.0200,3287.3,39.7,157.0,-0.2,USCO,HUC14,1408
Copeland Lake,40.2100,-105.5700,2621.3,77.6,NaN,0.0,USCO,HUC10,1019
Copper Mountain,39.4900,-106.1700,3215.6,66.9,92.0,-0.2,USCO,HUC14,1401
Crosho,40.1700,-107.0600,2773.7,0.0,NaN,-0.3,USCO,HUC14,1405
Culebra #2,37.2100,-105.2000,3200.4,74.1,NaN,-1.1,USCO,HUC13,1301
Cumbres Trestle,37.0200,-106.4500,3060.2,5.8,162.0,-1.3,USCO,HUC13,1302
Deadman Hill,40.8100,-105.7700,3115.1,36.0,97.0,-0.4,USCO,HUC10,1019
